"","B_Name","R_Name","total_blue_strikes","total_red_strikes","winner","winby"
"373","Mike Pierce","Ryan LaFlare",0,71,"red","DEC"
"374","Tae Hyun Bang","Nick Hein",12,175,"red","DEC"
"375","Henry Cejudo","Chris Cariaso",72,143,"blue","DEC"
"376","Kelvin Gastelum","Neil Magny",233,421,"red","DEC"
"377","Kevin Lee","Efrain Escudero",169,162,"blue","DEC"
"378","Andrew Sanchez","Anthony Smith",105,81,"red","KO/TKO"
"379","Alistair Overeem","Junior Dos Santos",161,57,"blue","KO/TKO"
"380","Makwan Amirkhani","Mike Wilkinson",6,6,"blue","DEC"
"381","Andrei Arlovski","Alistair Overeem",122,193,"red","KO/TKO"
"382","Bryan Caraway","Eddie Wineland",46,60,"blue","DEC"
"383","Teemu Packalen","Mickael Lebout",0,47,"red","DEC"
"384","Neil Magny","Demian Maia",353,101,"red","SUB"
"385","Pearl Gonzalez","Cynthia Calvillo",0,13,"red","SUB"
"386","Tim Means","Dhiego Lima",158,75,"blue","KO/TKO"
"387","Mehdi Baghdad","Chris Wade",0,79,"red","SUB"
"388","Danielle Taylor","Seohee Ham",17,221,"blue","DEC"
"389","Anthony Smith","Elvis Mutapcic",33,102,"blue","KO/TKO"
"390","Marvin Vettori","Alberto Uda",0,15,"blue","SUB"
"391","Jonathan Meunier","Richard Walsh",16,279,"blue","DEC"
"392","Johnny Bedford","Rani Yahya",11,3,"red","SUB"
"393","Tim Boetsch","Jacare Souza",123,123,"red","SUB"
"394","Elias Silverio","Shane Campbell",146,25,"red","DEC"
"395","Elvis Mutapcic","Francimar Barroso",0,82,"red","DEC"
"396","Omari Akhmedov","Brian Ebersole",70,49,"blue","KO/TKO"
"397","Saparbeg Safarov","Gian Villante",0,199,"red","KO/TKO"
"398","Michelle Waterson","Paige VanZant",47,25,"blue","SUB"
"399","Michinori Tanaka","Joe Soto",43,46,"blue","DEC"
"400","Mark Hunt","Alistair Overeem",107,225,"red","KO/TKO"
"401","Michael Chiesa","Beneil Dariush",121,205,"blue","SUB"
"402","Jessica Penne","Joanna Jedrzejczyk",39,155,"red","KO/TKO"
"403","Charles Oliveira","Ricardo Lamas",98,145,"red","SUB"
"404","Michael Bisping","Luke Rockhold",303,171,"blue","KO/TKO"
"405","Phillipe Nover","Rick Glenn",59,58,"red","DEC"
"406","Belal Muhammad","Randy Brown",146,112,"blue","DEC"
"407","Katlyn Chookagian","Liz Carmouche",45,56,"red","DEC"
"408","Clay Collard","Gabriel Benitez",130,23,"red","DEC"
"409","Ilir Latifi","Gian Villante",27,176,"blue","DEC"
"410","Enrique Marin","Sage Northcutt",27,47,"red","DEC"
"411","Cat Zingano","Ronda Rousey",40,28,"red","SUB"
"412","Andrew Holbrook","Joaquim Silva",20,49,"red","KO/TKO"
"413","Cortney Casey","Claudia Gadelha",175,249,"red","DEC"
"414","Hans Stringer","Ilir Latifi",77,18,"red","KO/TKO"
"415","Clay Guida","Brian Ortega",105,73,"red","KO/TKO"
"416","Hacran Dias","Darren Elkins",31,68,"blue","DEC"
"417","Chas Skelly","Sean Soriano",21,19,"blue","DEC"
"418","Chico Camus","Kyoji Horiguchi",156,162,"red","DEC"
"419","Kailin Curran","Alex Chambers",0,12,"red","SUB"
"420","Jared Cannonier","Ion Cutelaba",27,113,"blue","DEC"
"421","Tom Breese","Cathal Pendred",0,177,"blue","KO/TKO"
"422","Viviane Pereira","Valerie Letourneau",0,348,"blue","DEC"
"423","Tony Ferguson","Edson Barboza",175,187,"blue","SUB"
"424","Gegard Mousasi","Chris Weidman",329,136,"blue","KO/TKO"
"425","Tom Lawlor","Gian Villante",0,126,"blue","KO/TKO"
"426","James Vick","Glaico Franca",127,20,"blue","DEC"
"427","Marc Diakiese","Lukasz Sajewski",0,40,"blue","KO/TKO"
"428","Leandro Silva","Francisco Trinaldo",0,68,"red","DEC"
"429","Tim Boetsch","Thales Leites",15,23,"red","SUB"
"430","Jordan Johnson","Henrique da Silva",0,141,"blue","DEC"
"431","Raphael Assuncao","TJ Dillashaw",75,453,"red","DEC"
"432","Josh Copeland","Jared Rosholt",20,77,"red","KO/TKO"
"433","Bradley Scott","Dylan Andrews",41,4,"blue","SUB"
"434","Al Iaquinta","Jorge Masvidal",245,189,"blue","DEC"
"435","Jimi Manuwa","Anthony Johnson",56,113,"red","KO/TKO"
"436","Sam Alvey","Tom Watson",0,50,"red","DEC"
"437","Katlyn Chookagian","Lauren Murphy",0,189,"blue","DEC"
"438","Chris Dempsey","Scott Askham",45,54,"red","KO/TKO"
"439","Jim Miller","Dustin Poirier",218,148,"red","DEC"
"440","Sam Sicilia","Gabriel Benitez",109,94,"red","SUB"
"441","Alan Jouban","Gunnar Nelson",371,64,"red","SUB"
"442","Cody Pfister","Yosdenis Cedeno",12,56,"blue","DEC"
"443","Bobby Green","Josh Thomson",0,9,"blue","DEC"
"444","Glover Teixeira","Anthony Johnson",185,149,"red","KO/TKO"
"445","JJ Aldrich","Juliana Lima",0,136,"red","DEC"
"446","Matt Hobar","Sergio Pettis",70,103,"red","DEC"
"447","Joe Riggs","Patrick Cote",2,86,"red","DEC"
"448","Joanna Jedrzejczyk","Carla Esparza",102,42,"blue","KO/TKO"
"449","Gasan Umalatov","Cathal Pendred",58,11,"red","DEC"
"450","Piotr Hallmann","Alex Oliveira",137,43,"red","KO/TKO"
"451","Stevie Ray","Alan Patrick",98,65,"red","DEC"
"452","Myles Jury","Donald Cerrone",10,152,"red","DEC"
"453","Sam Stout","Ross Pearson",5,46,"red","KO/TKO"
"454","Rin Nakai","Miesha Tate",0,27,"red","DEC"
"455","Joe Merritt","Alex Oliveira",0,32,"red","DEC"
"456","Mark Hunt","Stipe Miocic",42,115,"red","KO/TKO"
"457","Kenny Robertson","Roan Carneiro",184,1,"red","DEC"
"458","Tiago Trator","Clay Collard",69,164,"blue","DEC"
"459","Daniel Cormier","Anthony Johnson",119,90,"blue","SUB"
"460","Jason Knight","Jim Alers",28,94,"blue","DEC"
"461","Alexander Volkov","Tim Johnson",0,45,"blue","DEC"
"462","Levan Makashvili","Damon Jackson",64,25,"draw",""
"463","Corey Anderson","Jan Blachowicz",0,57,"blue","DEC"
"464","Keita Nakamura","Kyle Noke",6,132,"blue","SUB"
"465","Alex Caceres","Francisco Rivera",97,56,"red","KO/TKO"
"466","Chris Beal","Neil Seery",70,107,"red","DEC"
"467","Conor McGregor","Eddie Alvarez",297,166,"blue","KO/TKO"
"468","Alexis Davis","Ronda Rousey",53,14,"red","KO/TKO"
"469","Joshua Sampo","Justin Scoggins",3,98,"red","DEC"
"470","John Dodson","Demetrious Johnson",52,147,"red","DEC"
"471","Paul Craig","Tyson Pedro",31,4,"red","KO/TKO"
"472","Marcelo Guimaraes","Vitor Miranda",78,92,"red","KO/TKO"
"473","Christian Colombo","Jarjis Danho",0,38,"draw",""
"474","Cynthia Calvillo","Amanda Cooper",0,70,"blue","SUB"
"475","Jordan Mein","Mike Pyle",46,56,"blue","KO/TKO"
"476","Stevie Ray","Ross Pearson",100,335,"blue","DEC"
"477","Yancy Medeiros","Francisco Trinaldo",152,277,"red","DEC"
"478","Larissa Pacheco","Jessica Andrade",0,66,"red","SUB"
"479","Jack Hermansson","Scott Askham",0,61,"blue","DEC"
"480","Marlon Vera","Brad Pickett",84,202,"blue","KO/TKO"
"481","Jenel Lausa","Yao Zhikui",0,36,"blue","DEC"
"482","Marcin Held","Diego Sanchez",0,6,"red","DEC"
"483","Joey Gomez","Jose Quinonez",0,40,"red","DEC"
"484","Justin Scoggins","Ray Borg",162,59,"blue","DEC"
"485","Frankie Saenz","Iuri Alcantara",0,74,"blue","DEC"
"486","Eric Spicely","Thiago Santos",7,147,"blue","SUB"
"487","Sean Spencer","Paulo Thiago",58,42,"blue","DEC"
"488","Robert Peralta","Clay Guida",51,75,"red","DEC"
"489","Luke Rockhold","Chris Weidman",65,79,"blue","KO/TKO"
"490","Josh Samman","Eddie Gordon",0,22,"blue","KO/TKO"
"491","Mark Hunt","Fabricio Werdum",32,74,"red","KO/TKO"
"492","Jake Ellenberger","Matt Brown",89,176,"blue","KO/TKO"
"493","Naoyuki Kotani","Yan Cabral",8,23,"red","SUB"
"494","Sultan Aliev","Bojan Velickovic",8,62,"blue","DEC"
"495","Zach Makovsky","John Dodson",25,27,"red","DEC"
"496","Alex Oliveira","Donald Cerrone",85,321,"red","SUB"
"497","Danny Mitchell","Sai Wang",18,31,"red","DEC"
"498","Alex White","Tony Martin",198,109,"red","DEC"
"499","Kelly Faszholz","Lauren Murphy",0,94,"red","KO/TKO"
"500","Lucas Martins","Darren Elkins",53,21,"red","DEC"
"501","Andre Fili","Hacran Dias",143,133,"blue","DEC"
"502","Yoel Romero","Tim Kennedy",91,25,"blue","KO/TKO"
"503","Thiago Alves","Jim Miller",173,190,"red","DEC"
"504","Drew Dober","Jamie Varner",49,43,"blue","SUB"
"505","Alessio Di Chirico","Eric Spicely",126,12,"red","SUB"
"506","Benson Henderson","Donald Cerrone",76,189,"red","DEC"
"507","Sergio Pettis","Yaotzin Meza",49,12,"blue","DEC"
"508","Chris Clements","Nordine Taleb",25,48,"red","DEC"
"509","Nico Musoke","Kelvin Gastelum",45,59,"red","DEC"
"510","Anton Zafir","James Moontasri",0,73,"red","KO/TKO"
"511","Horacio Gutierrez","Teruto Ishihara",10,27,"red","KO/TKO"
"512","Mitch Clarke","Al Iaquinta",0,49,"blue","SUB"
"513","Alptekin Ozkilic","John Lineker",60,27,"red","KO/TKO"
"514","Cathal Pendred","Augusto Montano",115,30,"blue","DEC"
"515","Kyung Ho Kang","Michinori Tanaka",65,21,"blue","DEC"
"516","Augusto Mendes","Cody Garbrandt",0,64,"red","KO/TKO"
"517","Rogerio Nogueira","Ryan Bader",30,110,"red","KO/TKO"
"518","Bojan Velickovic","Michael Graves",45,38,"draw",""
"519","Beneil Dariush","Diego Ferreira",44,32,"blue","DEC"
"520","Joe Riggs","Chris Camozzi",58,203,"red","KO/TKO"
"521","Thiago Tavares","Clay Guida",57,102,"blue","SUB"
"522","Leon Edwards","Claudio Silva",0,36,"red","DEC"
"523","Lorenz Larkin","Neil Magny",281,459,"blue","KO/TKO"
"524","Ray Borg","Dustin Ortiz",0,35,"red","DEC"
"525","Matt Dwyer","Albert Tumenov",0,38,"red","KO/TKO"
"526","David Michaud","Olivier Aubin-Mercier",77,76,"red","SUB"
"527","Valentina Shevchenko","Amanda Nunes",32,63,"red","DEC"
"528","Jan Blachowicz","Jimi Manuwa",13,13,"red","DEC"
"529","Albert Tumenov","Nico Musoke",42,151,"blue","DEC"
"530","Ryan Bader","Anthony Johnson",97,138,"red","KO/TKO"
"531","Edson Barboza","Bobby Green",38,59,"blue","DEC"
"532","Rashid Magomedov","Beneil Dariush",0,278,"red","DEC"
"533","Thibault Gouti","Chad Laprise",29,276,"red","KO/TKO"
"534","Tim Means","Marcio Alexandre Junior",115,8,"blue","DEC"
"535","Marcin Tybura","Viktor Pesta",48,69,"blue","KO/TKO"
"536","Patrick Cote","Thiago Alves",255,209,"red","DEC"
"537","Mickael Lebout","Stevie Ray",90,50,"red","DEC"
"538","Jocelyn Jones-Lybarger","Randa Markos",29,107,"red","DEC"
"539","Darren Elkins","Mirsad Bektic",282,104,"blue","KO/TKO"
"540","Akbarh Arreola","Yves Edwards",30,27,"blue","SUB"
"541","Ricardo Lamas","Max Holloway",81,509,"red","DEC"
"542","Ryan Bader","Phil Davis",19,72,"blue","DEC"
"543","Jason Gonzalez","Drew Dober",0,112,"red","KO/TKO"
"544","Felipe Arantes","Erik Perez",75,95,"red","DEC"
"545","Clay Collard","Alex White",70,62,"blue","DEC"
"546","Santiago Ponzinibbio","Nordine Taleb",177,127,"blue","DEC"
"547","Henrique da Silva","Jonathan Wilson",0,4,"blue","KO/TKO"
"548","Levan Makashvili","Hacran Dias",27,61,"red","DEC"
"549","Russell Doane","Mirsad Bektic",112,100,"red","SUB"
"550","Jonathan Wilson","Chris Dempsey",0,45,"blue","KO/TKO"
"551","Hector Lombard","Dan Henderson",0,48,"red","KO/TKO"
"552","Tyson Pedro","Khalil Rountree",0,14,"blue","SUB"
"553","Felice Herrig","Alexa Grasso",21,65,"blue","DEC"
"554","Sean Strickland","Igor Araujo",68,20,"blue","DEC"
"555","Ryan LaFlare","Demian Maia",64,80,"red","DEC"
"556","Sean O'Connell","Anthony Perosh",190,11,"blue","KO/TKO"
"557","Mike Perry","Alan Jouban",121,302,"red","DEC"
"558","Lucas Martins","Rob Whiteford",86,69,"blue","DEC"
"559","Derek Brunson","Robert Whittaker",118,300,"red","KO/TKO"
"560","Roan Carneiro","Mark Munoz",0,3,"blue","SUB"
"561","Johnny Eduardo","Eddie Wineland",0,54,"blue","KO/TKO"
"562","Lorenz Larkin","John Howard",75,77,"blue","KO/TKO"
"563","Alan Jouban","Seth Baczynski",0,90,"blue","KO/TKO"
"564","Matt Dwyer","William Patolino",0,24,"blue","KO/TKO"
"565","Ryan Jimmo","Francimar Barroso",35,36,"red","DEC"
"566","Islam Makhachev","Nik Lentz",48,149,"blue","DEC"
"567","Chris Camozzi","Rafael Natal",42,35,"red","DEC"
"568","Joby Sanchez","Wilson Reis",0,23,"red","DEC"
"569","Justin Salas","Jason Saggo",55,39,"red","KO/TKO"
"570","Mike Easton","Yves Jabouin",46,33,"red","DEC"
"571","Rashad Evans","Ryan Bader",0,45,"red","DEC"
"572","Vagner Rocha","Jake Matthews",0,60,"red","SUB"
"573","BJ Penn","Yair Rodriguez",13,233,"red","KO/TKO"
"574","Krzysztof Jotko","Tamdan McCrory",134,39,"blue","KO/TKO"
"575","Gerald Meerschaert","Joe Gigliotti",0,15,"blue","SUB"
"576","Clint Hester","Robert Whittaker",112,85,"red","KO/TKO"
"577","Sergio Pettis","Chris Cariaso",220,165,"blue","DEC"
"578","Santiago Ponzinibbio","Court McGee",81,58,"blue","KO/TKO"
"579","Omari Akhmedov","Kyle Noke",156,176,"blue","DEC"
"580","Sean Spencer","Yancy Medeiros",223,203,"red","SUB"
"581","Wilson Reis","Demetrious Johnson",172,236,"red","SUB"
"582","Myles Jury","Charles Oliveira",25,52,"red","SUB"
"583","Leon Edwards","Seth Baczynski",33,115,"blue","KO/TKO"
"584","Jeremy Stephens","Max Holloway",119,452,"red","DEC"
"585","Mike Perry","Hyun Gyu Lim",0,84,"blue","KO/TKO"
"586","Jerrod Sanders","Felipe Arantes",18,72,"red","SUB"
"587","Alex Oliveira","KJ Noons",29,25,"blue","SUB"
"588","Lando Vannata","John Makdessi",40,378,"blue","KO/TKO"
"589","Josh Samman","Tim Boetsch",33,71,"red","KO/TKO"
"590","Dennis Siver","Conor McGregor",33,27,"red","KO/TKO"
"591","Nate Marquardt","Brad Tavares",17,90,"red","DEC"
"592","Urijah Faber","Frankie Edgar",47,129,"red","DEC"
"593","Chas Skelly","Kevin Souza",76,84,"blue","SUB"
"594","Bartosz Fabinski","Hector Urbina",0,4,"blue","DEC"
"595","Gunnar Nelson","Albert Tumenov",35,224,"blue","SUB"
"596","Sean O'Connell","Ilir Latifi",210,25,"red","KO/TKO"
"597","Ben Nguyen","Alptekin Ozkilic",0,148,"blue","KO/TKO"
"598","Islam Makhachev","Adriano Martins",32,34,"red","KO/TKO"
"599","Johnny Case","Jake Matthews",186,152,"red","SUB"
"600","Matheus Nicolau","John Moraga",46,153,"blue","DEC"
"601","Dominic Waters","Leon Edwards",13,98,"red","DEC"
"602","Nina Ansaroff","Juliana Lima",0,48,"red","DEC"
"603","Nate Diaz","Michael Johnson",13,170,"blue","DEC"
"604","Dan Henderson","Michael Bisping",61,324,"red","DEC"
"605","Kevin Lee","Jesse Ronson",39,53,"blue","DEC"
"606","Gilbert Melendez","Edson Barboza",64,301,"red","DEC"
"607","Andre Fili","Gabriel Benitez",116,83,"blue","KO/TKO"
"608","Edson Barboza","Anthony Pettis",228,120,"blue","DEC"
"609","Ildemar Alcantara","Kenny Robertson",50,9,"red","DEC"
"610","Teemu Packalen","Marc Diakiese",41,57,"red","KO/TKO"
"611","Andre Fili","Yair Rodriguez",132,142,"red","KO/TKO"
"612","Chad Mendes","Frankie Edgar",109,177,"red","KO/TKO"
"613","Charles Rosa","Shane Burgos",190,73,"red","KO/TKO"
"614","Adriano Martins","Rustam Khabilov",22,34,"blue","DEC"
"615","Raquel Pennington","Miesha Tate",276,191,"blue","DEC"
"616","Phillipe Nover","Zubaira Tukhugov",0,75,"red","DEC"
"617","Mike Perry","Danny Roberts",31,66,"blue","KO/TKO"
"618","Jeremy Stephens","Frankie Edgar",221,239,"red","DEC"
"619","Stephen Thompson","Tyron Woodley",193,88,"draw",""
"620","Jared Rosholt","Soa Palelei",34,5,"blue","DEC"
"621","Oluwale Bamgbose","Uriah Hall",0,112,"red","KO/TKO"
"622","Katsunori Kikuno","Kevin Souza",77,79,"red","KO/TKO"
"623","Chas Skelly","Darren Elkins",83,145,"red","DEC"
"624","Dominique Steele","Danny Roberts",2,6,"red","DEC"
"625","Germaine de Randamie","Larissa Pacheco",0,6,"blue","KO/TKO"
"626","Desmond Green","Josh Emmett",0,141,"blue","DEC"
"627","Holly Holm","Ronda Rousey",44,47,"blue","KO/TKO"
"628","Josh Shockley","Ivan Jorge",6,63,"red","DEC"
"629","Alexis Davis","Sara McMann",89,109,"red","SUB"
"630","Rin Nakai","Leslie Smith",16,143,"red","DEC"
"631","Roger Narvaez","Elias Theodorou",51,116,"red","KO/TKO"
"632","Josh Emmett","Jon Tuck",0,59,"blue","DEC"
"633","Valentina Shevchenko","Sarah Kaufman",0,267,"blue","DEC"
"634","Michael Bisping","Luke Rockhold",92,22,"red","SUB"
"635","Shane Campbell","Erik Koch",151,25,"red","SUB"
"636","Gian Villante","Anthony Perosh",157,14,"blue","KO/TKO"
"637","Tatsuya Kawajiri","Dennis Siver",51,65,"blue","DEC"
"638","Thiago Santos","Elias Theodorou",74,155,"blue","DEC"
"639","Roger Narvaez","Luke Barnatt",3,89,"blue","DEC"
"640","CB Dollaway","Lyoto Machida",56,42,"red","KO/TKO"
"641","Luke Sanders","Iuri Alcantara",26,225,"red","SUB"
"642","Taylor Lapilus","Erik Perez",111,10,"red","DEC"
"643","Zak Cummings","Santiago Ponzinibbio",116,119,"red","DEC"
"644","Seohee Ham","Bec Rawlings",129,21,"red","DEC"
"645","Yao Zhikui","Nolan Ticman",27,3,"blue","DEC"
"646","Kelvin Gastelum","Johny Hendricks",264,208,"blue","DEC"
"647","Jack Hermansson","Cezar Ferreira",88,99,"red","SUB"
"648","Abel Trujillo","Tony Ferguson",18,61,"red","SUB"
"649","Steve Kennedy","Peter Sobotta",0,47,"red","SUB"
"650","Joachim Christensen","Henrique da Silva",0,81,"red","SUB"
"651","Raquel Pennington","Bethe Correia",168,191,"blue","DEC"
"652","Brian Ebersole","John Howard",0,35,"blue","DEC"
"653","Mike de la Torre","Godofredo Pepey",127,34,"red","SUB"
"654","Chico Camus","Brad Pickett",37,71,"blue","DEC"
"655","Reza Madadi","Joe Duffy",60,3,"red","DEC"
"656","Dominique Steele","Court McGee",36,93,"red","DEC"
"657","Chris Gruetzemacher","Chas Skelly",103,111,"red","SUB"
"658","Tom Watson","Chris Camozzi",164,116,"red","DEC"
"659","Nate Diaz","Rafael dos Anjos",0,74,"red","DEC"
"660","Stefan Struve","Antonio Silva",128,32,"blue","KO/TKO"
"661","Anna Elmose","Germaine de Randamie",0,29,"red","KO/TKO"
"662","Holly Holm","Raquel Pennington",0,87,"blue","DEC"
"663","Wilson Reis","Scott Jorgensen",45,46,"blue","SUB"
"664","Thibault Gouti","Teemu Packalen",0,35,"red","SUB"
"665","Ericka Almeida","Juliana Lima",0,69,"red","DEC"
"666","Max Griffin","Erick Montano",13,70,"blue","KO/TKO"
"667","Anthony Johnson","Daniel Cormier",153,253,"red","SUB"
"668","Shane Campbell","John Makdessi",0,61,"red","KO/TKO"
"669","Todd Duffee","Frank Mir",8,13,"red","KO/TKO"
"670","Akbarh Arreola","Jake Matthews",76,90,"red","KO/TKO"
"671","Eddie Alvarez","Rafael Dos Anjos",121,243,"blue","KO/TKO"
"672","Siyar Bahadurzada","Brandon Thatch",0,44,"blue","SUB"
"673","Brad Pickett","Francisco Rivera",144,77,"blue","DEC"
"674","Thales Leites","Michael Bisping",43,183,"red","DEC"
"675","Leandro Silva","Rustam Khabilov",165,135,"red","DEC"
"676","Brian Ortega","Diego Brandao",44,35,"blue","SUB"
"677","Pedro Munhoz","Russell Doane",92,94,"blue","SUB"
"678","Dong Hyun Kim","Tyron Woodley",27,40,"red","KO/TKO"
"679","Matt Mitrione","Gabriel Gonzaga",31,29,"blue","KO/TKO"
"680","Chris Kelades","Ray Borg",50,14,"red","SUB"
"681","Jason Knight","Alex Caceres",163,294,"blue","SUB"
"682","Michel Prazeres","Gilbert Burns",101,99,"blue","DEC"
"683","Stipe Miocic","Fabricio Werdum",209,191,"blue","KO/TKO"
"684","Amanda Nunes","Miesha Tate",102,188,"blue","SUB"
"685","Kevin Lee","Jake Matthews",233,188,"blue","KO/TKO"
"686","Ryan Benoit","Brandon Moreno",60,8,"red","DEC"
"687","Mike de la Torre","Yui Chul Nam",80,77,"blue","DEC"
"688","Robert Whittaker","Brad Tavares",134,140,"blue","KO/TKO"
"689","Amanda Cooper","Anna Elmose",1,6,"blue","DEC"
"690","Tom Breese","Sean Strickland",55,223,"red","DEC"
"691","Ketlen Vieira","Ashlee Evans-Smith",13,84,"blue","DEC"
"692","Sam Sicilia","Akira Corassani",87,35,"blue","KO/TKO"
"693","Alexander Yakovlev","Gray Maynard",66,15,"blue","DEC"
"694","Bethe Correia","Ronda Rousey",182,28,"red","KO/TKO"
"695","Nate Marquardt","Kelvin Gastelum",47,174,"red","KO/TKO"
"696","Cristina Stanciu","Cortney Casey",39,135,"red","KO/TKO"
"697","Henry Cejudo","Joseph Benavidez",233,271,"red","DEC"
"698","Danny Martinez","Richie Vaculik",139,101,"blue","DEC"
"699","Ernest Chavez","Zubaira Tukhugov",82,35,"red","KO/TKO"
"700","Rodrigo de Lima","Neil Magny",0,100,"red","KO/TKO"
"701","Jon Delos Reyes","Neil Seery",45,184,"red","SUB"
"702","Jim Alers","Chas Skelly",36,34,"red","KO/TKO"
"703","Miesha Tate","Holly Holm",163,82,"blue","SUB"
"704","Shane Burgos","Tiago Trator",0,121,"blue","DEC"
"705","Sirwan Kakai","Frankie Saenz",52,44,"red","DEC"
"706","Lorenz Larkin","Costas Philippou",39,4,"red","KO/TKO"
"707","Albert Morales","Thomas Almeida",79,209,"red","KO/TKO"
"708","Damian Grabowski","Anthony Hamilton",1,145,"red","KO/TKO"
"709","Erick Silva","Neil Magny",59,353,"red","DEC"
"710","Rafael dos Anjos","Anthony Pettis",151,30,"blue","DEC"
"711","James Krause","Daron Cruickshank",167,171,"blue","SUB"
"712","Aljamain Sterling","Takeya Mizugaki",108,37,"blue","SUB"
"713","Sam Alvey","Cezar Ferreira",88,23,"blue","KO/TKO"
"714","Zak Ottow","Sergio Moraes",65,100,"red","DEC"
"715","Rustam Khabilov","Benson Henderson",0,29,"red","SUB"
"716","Anthony Johnson","Alexander Gustafsson",60,21,"blue","KO/TKO"
"717","Urijah Faber","Dominick Cruz",151,83,"red","DEC"
"718","Donald Cerrone","Rick Story",398,127,"blue","KO/TKO"
"719","Ricardo Lamas","Chad Mendes",73,51,"red","KO/TKO"
"720","Wilson Reis","Dustin Ortiz",86,249,"blue","DEC"
"721","Roan Carneiro","Derek Brunson",1,88,"red","KO/TKO"
"722","Rustam Khabilov","Norman Parke",52,186,"blue","DEC"
"723","Brendan O'Reilly","Dong Hyun Kim",65,83,"red","DEC"
"724","James Vick","Beneil Dariush",221,232,"red","KO/TKO"
"725","Shane Howell","Ray Borg",0,12,"red","SUB"
"726","Cody Pfister","Sage Northcutt",27,21,"red","SUB"
"727","Dooho Choi","Cub Swanson",4,291,"red","DEC"
"728","Ashlee Evans-Smith","Raquel Pennington",0,82,"red","SUB"
"729","Carlos Condit","Robbie Lawler",88,244,"red","DEC"
"730","Cody Pfister","James Moontasri",0,35,"red","SUB"
"731","Adriano Martins","Leonardo Santos",37,106,"red","DEC"
"732","Travis Browne","Cain Velasquez",127,88,"red","KO/TKO"
"733","Chris Camozzi","Thales Leites",257,106,"red","SUB"
"734","Patrick Cote","Donald Cerrone",209,325,"red","KO/TKO"
"735","Walt Harris","Soa Palelei",0,16,"red","KO/TKO"
"736","Dustin Ortiz","Zach Makovsky",307,88,"blue","DEC"
"737","Jan Blachowicz","Patrick Cummins",203,283,"red","DEC"
"738","James Krause","Jorge Masvidal",22,120,"red","DEC"
"739","Jorge Masvidal","Daron Cruickshank",69,70,"blue","DEC"
"740","Richard Walsh","Kiichi Kunimoto",71,17,"red","DEC"
"741","Aaron Phillips","Sam Sicilia",0,14,"red","DEC"
"742","Steve Kennedy","Richard Walsh",3,140,"red","DEC"
"743","Lewis Gonzalez","Leandro Silva",0,55,"red","DEC"
"744","Sean O'Connell","Steve Bosse",211,5,"red","DEC"
"745","Chase Sherman","Walt Harris",59,86,"red","KO/TKO"
"746","Chris Wade","Zhang Lipeng",0,29,"blue","DEC"
