"","B_Name","R_Name","total_blue_strikes","total_red_strikes","winner","winby"
"747","Justin Scoggins","John Moraga",85,51,"red","SUB"
"748","Albert Morales","Alejandro Perez",0,125,"draw",""
"749","Andrew Holbrook","Jake Matthews",22,193,"blue","DEC"
"750","Charlie Brenneman","Leandro Silva",18,26,"red","SUB"
"751","Cezar Ferreira","Oluwale Bamgbose",43,15,"blue","DEC"
"752","Brendan O'Reilly","Vik Grujic",15,26,"blue","DEC"
"753","Jorge Masvidal","Jake Ellenberger",499,110,"blue","KO/TKO"
"754","Sean Strickland","Alex Garcia",139,90,"blue","KO/TKO"
"755","Abel Trujillo","Gleison Tibau",33,114,"blue","SUB"
"756","Valerie Letourneau","Joanna Jedrzejczyk",211,281,"red","DEC"
"757","Sultan Aliev","Kenny Robertson",0,79,"red","KO/TKO"
"758","Al Iaquinta","Ross Pearson",155,26,"blue","KO/TKO"
"759","Gina Mazany","Sara McMann",0,123,"red","SUB"
"760","Marion Reneau","Bethe Correia",48,306,"draw",""
"761","Brandon Thatch","Gunnar Nelson",36,29,"red","SUB"
"762","Ronda Rousey","Amanda Nunes",64,142,"red","KO/TKO"
"763","Cody East","Walt Harris",0,22,"red","KO/TKO"
"764","Derrick Lewis","Shawn Jordan",82,47,"red","KO/TKO"
"765","Ed Herman","Nikita Krylov",98,58,"red","KO/TKO"
"766","Daron Cruickshank","Paul Felder",177,191,"red","SUB"
"767","Yuta Sasaki","Roland Delorme",0,2,"blue","SUB"
"768","Nate Diaz","Conor McGregor",166,142,"blue","SUB"
"769","Jocelyn Jones-Lybarger","Tecia Torres",0,128,"red","DEC"
"770","Colby Covington","Mike Pyle",34,58,"blue","DEC"
"771","Chris Dempsey","Eddie Gordon",1,30,"blue","DEC"
"772","Tim Means","Hernani Perpetuo",30,21,"blue","DEC"
"773","Noad Lahat","Steven Siler",11,11,"blue","DEC"
"774","Iuri Alcantara","Vaughan Lee",42,142,"blue","KO/TKO"
"775","Sam Sicilia","Katsunori Kikuno",51,45,"red","SUB"
"776","Francisco Rivera","Urijah Faber",41,28,"red","SUB"
"777","Andrew Holbrook","Gregor Gillespie",52,41,"red","KO/TKO"
"778","Tim Means","Matt Brown",229,141,"red","SUB"
"779","Alexander Yakovlev","Zak Cummings",120,151,"red","SUB"
"780","Matt Schnell","Rob Font",0,52,"red","KO/TKO"
"781","Andre Fili","Max Holloway",0,74,"red","SUB"
"782","Steve Bosse","James Te Huna",0,6,"blue","KO/TKO"
"783","Jorge Masvidal","Donald Cerrone",543,506,"blue","KO/TKO"
"784","Derrick Lewis","Roy Nelson",143,142,"blue","DEC"
"785","Kyle Bochniak","Enrique Barzola",52,38,"blue","DEC"
"786","Paul Felder","Edson Barboza",84,123,"red","DEC"
"787","Tim Means","George Sullivan",181,104,"blue","SUB"
"788","Ashley Yoder","Justine Kish",0,72,"red","DEC"
"789","Michael McBride","Nik Lentz",0,111,"red","KO/TKO"
"790","John Lineker","TJ Dillashaw",371,517,"red","DEC"
"791","Anthony Njokuani","Daron Cruickshank",24,89,"red","DEC"
"792","Diego Brandao","Katsunori Kikuno",21,78,"blue","KO/TKO"
"793","Alex Caceres","Yair Rodriguez",268,167,"red","DEC"
"794","Tim Elliott","Louis Smolka",21,382,"blue","DEC"
"795","Jake Ellenberger","Tarec Saffiedine",59,117,"red","DEC"
"796","Tatsuya Kawajiri","Dennis Bermudez",101,145,"red","DEC"
"797","Lorenz Larkin","Jorge Masvidal",237,338,"blue","DEC"
"798","Mirsad Bektic","Lucas Martins",61,79,"blue","KO/TKO"
"799","Minotauro Nogueira","Stefan Struve",12,2,"red","DEC"
"800","Patrick Cummins","Glover Teixeira",238,125,"red","KO/TKO"
"801","Tony Sims","Abel Trujillo",33,33,"red","SUB"
"802","Willie Gates","Darrell Montague",22,26,"blue","KO/TKO"
"803","Eddie Gordon","Antonio Carlos Junior",67,31,"red","SUB"
"804","Elizeu Zaleski dos Santos","Keita Nakamura",129,47,"blue","DEC"
"805","Danielle Taylor","Maryna Moroz",0,102,"red","DEC"
"806","TJ Dillashaw","Renan Barao",117,17,"blue","KO/TKO"
"807","Junior Dos Santos","Ben Rothwell",79,17,"blue","DEC"
"808","Colby Covington","Warlley Alves",60,83,"red","SUB"
"809","Daniel Omielanczuk","Stefan Struve",164,141,"red","SUB"
"810","Alistair Overeem","Stipe Miocic",216,229,"red","KO/TKO"
"811","George Roop","Takeya Mizugaki",63,50,"red","DEC"
"812","Geane Herrera","Ben Nguyen",60,42,"red","DEC"
"813","Pawel Pawlak","Leon Edwards",51,36,"red","DEC"
"814","Luan Chagas","Erick Silva",46,99,"red","SUB"
"815","Kelvin Gastelum","Tim Kennedy",388,55,"blue","KO/TKO"
"816","Zak Cummings","Nicolas Dalby",60,41,"blue","DEC"
"817","Levan Makashvili","Mark Eddiva",0,103,"blue","DEC"
"818","Rony Jason","Dennis Bermudez",38,206,"red","DEC"
"819","Garreth McLellan","Magnus Cedenblad",0,40,"red","KO/TKO"
"820","Mats Nilsson","Omari Akhmedov",25,6,"red","DEC"
"821","Leonardo Mafra","Rick Story",0,45,"red","SUB"
"822","Cody Gibson","Johnny Bedford",18,4,"blue","KO/TKO"
"823","Phillipe Nover","Renan Barao",20,223,"red","DEC"
"824","Ketlen Vieira","Kelly Faszholz",0,76,"blue","DEC"
"825","Ulka Sasaki","Taylor Lapilus",13,80,"red","KO/TKO"
"826","Antonio Carlos Junior","Daniel Kelly",72,63,"red","KO/TKO"
"827","Raquel Pennington","Jessica Andrade",127,135,"blue","SUB"
"828","Bethe Correia","Jessica Eye",257,223,"blue","DEC"
"829","Andrew Holbrook","Ramsey Nijem",0,98,"blue","DEC"
"830","Rob Font","George Roop",0,53,"blue","KO/TKO"
"831","Jim Miller","Donald Cerrone",9,27,"red","KO/TKO"
"832","Konstantin Erokhin","Viktor Pesta",0,26,"red","DEC"
"833","Sergio Pettis","John Moraga",318,184,"blue","DEC"
"834","Aisling Daly","Randa Markos",16,55,"red","DEC"
"835","Davi Ramos","Sergio Moraes",0,135,"red","DEC"
"836","Matt Hobar","Aaron Phillips",7,18,"blue","DEC"
"837","Louis Smolka","Chris Cariaso",92,73,"red","DEC"
"838","Dennis Bermudez","Clay Guida",55,47,"blue","SUB"
"839","Frankie Perez","Johnny Case",0,13,"red","KO/TKO"
"840","Robert Peralta","Rony Jason",0,3,"blue","DEC"
"841","Paul Redmond","Rob Whiteford",2,26,"red","KO/TKO"
"842","Frank Mir","Antonio Silva",3,6,"blue","KO/TKO"
"843","Kevin Lee","Francisco Trinaldo",277,426,"blue","SUB"
"844","Trevor Smith","Andrew Sanchez",197,31,"red","DEC"
"845","Jared Cannonier","Glover Teixeira",86,186,"red","DEC"
"846","Emil Meek","Jordan Mein",0,93,"blue","DEC"
"847","Alessio Di Chirico","Garreth McLellan",65,12,"blue","DEC"
"848","Lukasz Sajewski","Gilbert Burns",26,86,"red","SUB"
"849","Joe Soto","Chris Beal",117,156,"blue","SUB"
"850","Cortney Casey","Seohee Ham",57,58,"red","DEC"
"851","Bojan Mihajlovic","Francis Ngannou",0,36,"red","KO/TKO"
"852","Piotr Hallmann","Gleison Tibau",56,44,"red","DEC"
"853","Leonardo Morales","Jose Quinonez",33,38,"red","SUB"
"854","Christos Giagos","Gilbert Burns",0,62,"red","SUB"
"855","Sam Alvey","Elias Theodorou",96,183,"red","DEC"
"856","Ali Bagautinov","Kyoji Horiguchi",192,312,"red","DEC"
"857","Uriah Hall","Gegard Mousasi",123,133,"blue","KO/TKO"
"858","Chris Cariaso","Demetrious Johnson",137,83,"red","SUB"
"859","Yusuke Kasuya","Nick Hein",0,129,"red","DEC"
"860","Max Holloway","Akira Corassani",268,24,"blue","KO/TKO"
"861","Luke Rockhold","Lyoto Machida",42,54,"blue","SUB"
"862","Louis Gaudinot","Kyoji Horiguchi",2,96,"red","DEC"
"863","Tom Duquesnoy","Patrick Williams",0,22,"blue","KO/TKO"
"864","Iuri Alcantara","Brad Pickett",199,183,"blue","SUB"
"865","Gegard Mousasi","Dan Henderson",73,29,"blue","KO/TKO"
"866","Jan Blachowicz","Ilir Latifi",0,16,"blue","KO/TKO"
"867","Alexander Gustafsson","Daniel Cormier",31,142,"red","DEC"
"868","Roger Zapata","Shinsho Anzai",0,31,"red","KO/TKO"
"869","Damian Stasiak","Davey Grant",16,72,"blue","SUB"
"870","James Krause","Jamie Varner",0,36,"blue","KO/TKO"
"871","Felipe Olivieri","Tony Martin",0,49,"red","SUB"
"872","Fabio Maldonado","Stipe Miocic",132,63,"red","KO/TKO"
"873","Guto Inocente","Derrick Lewis",0,22,"red","KO/TKO"
"874","Robert Whittaker","Uriah Hall",144,141,"blue","DEC"
"875","Andre Soukhamthath","Albert Morales",0,97,"red","DEC"
"876","Mickey Gall","Sage Northcutt",22,88,"blue","SUB"
"877","Ed Herman","Tim Boetsch",51,44,"blue","KO/TKO"
"878","Jake Collier","Vitor Miranda",0,21,"red","KO/TKO"
"879","Kevin Casey","Sam Alvey",116,128,"red","KO/TKO"
"880","Ion Cutelaba","Misha Cirkunov",0,56,"red","SUB"
"881","John Makdessi","Donald Cerrone",108,246,"red","KO/TKO"
"882","Jake Lindsey","Olivier Aubin-Mercier",49,45,"red","SUB"
"883","Alexander Yakovlev","Kamaru Usman",112,63,"red","DEC"
"884","Luis Henrique","Marcin Tybura",51,63,"red","KO/TKO"
"885","Renato Moicano","Jeremy Stephens",92,254,"blue","DEC"
"886","Jack Marshman","Magnus Cedenblad",0,61,"blue","KO/TKO"
"887","Charles Oliveira","Anthony Pettis",57,168,"red","SUB"
"888","Thales Leites","Francis Carmont",5,48,"blue","KO/TKO"
"889","Anthony Smith","Cezar Ferreira",0,69,"red","DEC"
"890","Kevin Lee","Leonardo Santos",159,74,"red","KO/TKO"
"891","Dominic Waters","George Sullivan",0,143,"red","DEC"
"892","Thiago Alves","Carlos Condit",139,13,"red","KO/TKO"
"893","Kajan Johnson","Zhang Lipeng",0,57,"blue","DEC"
"894","Brad Tavares","Tim Boetsch",66,1,"red","KO/TKO"
"895","Bryan Barberena","Joe Ellenberger",0,22,"blue","KO/TKO"
"896","John Lineker","Francisco Rivera",198,61,"blue","SUB"
"897","Yancy Medeiros","Dustin Poirier",66,79,"red","KO/TKO"
"898","Sam Alvey","Nate Marquardt",250,112,"blue","DEC"
"899","Alvaro Herrera","Vicente Luque",4,28,"red","SUB"
"900","Al Iaquinta","Joe Lauzon",186,21,"blue","KO/TKO"
"901","Beneil Dariush","Jim Miller",103,39,"blue","DEC"
"902","Dominic Waters","Dong Hyun Kim",13,29,"red","KO/TKO"
"903","Jeremy Stephens","Dennis Bermudez",81,110,"blue","KO/TKO"
"904","Dustin Ortiz","Justin Scoggins",81,61,"blue","DEC"
"905","Sean O'Connell","Corey Anderson",295,139,"red","KO/TKO"
"906","Tom Watson","Rafael Natal",135,71,"red","DEC"
"907","John Howard","Tim Means",135,245,"red","KO/TKO"
"908","Kelvin Gastelum","Tyron Woodley",142,53,"red","DEC"
"909","Leandro Issa","Taylor Lapilus",112,131,"red","DEC"
"910","Michael Johnson","Dustin Poirier",273,142,"blue","KO/TKO"
"911","Irene Aldana","Leslie Smith",0,207,"red","DEC"
"912","Mike de la Torre","Tiago Trator",63,62,"blue","KO/TKO"
"913","Khalil Rountree Jr.","Daniel Jolly",17,6,"blue","KO/TKO"
"914","Roan Carneiro","Ryan LaFlare",34,136,"red","DEC"
"915","Jimmie Rivera","Iuri Alcantara",111,158,"blue","DEC"
"916","Jessica Eye","Sara McMann",213,87,"red","DEC"
"917","Matthew Lopez","Rani Yahya",0,40,"red","SUB"
"918","Ovince Saint Preux","Glover Teixeira",52,72,"red","SUB"
"919","Jake Ellenberger","Robbie Lawler",0,77,"red","KO/TKO"
"920","Eddie Alvarez","Donald Cerrone",0,64,"red","DEC"
"921","Maximo Blanco","Andy Ogle",44,21,"blue","DEC"
"922","Naoyuki Kotani","Norman Parke",0,37,"red","KO/TKO"
"923","Nate Marquardt","Thiago Santos",81,126,"red","KO/TKO"
"924","Yoel Romero","Jacare Souza",172,54,"blue","DEC"
"925","Maximo Blanco","Chas Skelly",124,110,"red","SUB"
"926","Tim Means","Neil Magny",0,71,"red","DEC"
"927","Norman Parke","Francisco Trinaldo",114,143,"red","DEC"
"928","Vitor Miranda","Chris Camozzi",138,214,"red","DEC"
"929","Michael Johnson","Khabib Nurmagomedov",287,111,"red","SUB"
"930","Neil Magny","Hyun Gyu Lim",310,69,"blue","KO/TKO"
"931","Ruan Potts","Derrick Lewis",10,29,"red","KO/TKO"
"932","Luke Sanders","Maximo Blanco",0,108,"blue","SUB"
"933","CB Dollaway","Francis Carmont",12,19,"blue","DEC"
"934","Conor McGregor","Dustin Poirier",18,45,"blue","KO/TKO"
"935","Bryan Barberena","Warlley Alves",183,85,"blue","DEC"
"936","Christos Giagos","Chris Wade",22,47,"red","DEC"
"937","Jerrod Sanders","Yosdenis Cedeno",0,26,"red","KO/TKO"
"938","Thomas Almeida","Yves Jabouin",120,93,"blue","KO/TKO"
"939","Joe Soto","T.J. Dillashaw",0,201,"red","KO/TKO"
"940","Jimy Hettes","Diego Brandao",34,9,"red","KO/TKO"
"941","Lauren Murphy","Sara McMann",0,13,"red","DEC"
"942","Alexander Yakovlev","Nico Musoke",22,81,"red","DEC"
"943","Douglas Silva de Andrade","Henry Briones",66,67,"blue","KO/TKO"
"944","Rodrigo Damm","Evan Dunham",125,10,"red","DEC"
"945","Chris de la Rocha","Daniel Omielanczuk",0,46,"red","KO/TKO"
"946","Brad Pickett","Urijah Faber",184,193,"red","DEC"
"947","Jessica Andrade","Jessica Penne",176,64,"blue","KO/TKO"
"948","Alan Jouban","Warlley Alves",25,19,"red","DEC"
"949","Michael Johnson","Edson Barboza",48,92,"blue","DEC"
"950","Ben Saunders","Kenny Robertson",8,93,"blue","DEC"
"951","Jeremy Kimball","Marcos Rogerio de Lima",0,31,"red","KO/TKO"
"952","Sam Alvey","Derek Brunson",92,61,"red","KO/TKO"
"953","Andrew Craig","Cezar Ferreira",0,3,"red","DEC"
"954","Makwan Amirkhani","Andy Ogle",0,65,"blue","KO/TKO"
"955","Edson Barboza","Donald Cerrone",0,16,"red","SUB"
"956","Damon Jackson","Yancy Medeiros",0,12,"red","SUB"
"957","Stephen Thompson","Patrick Cote",38,33,"blue","DEC"
"958","Veronica Macedo","Ashlee Evans-Smith",0,11,"red","KO/TKO"
"959","Alexander Yakovlev","George Sullivan",97,197,"blue","KO/TKO"
"960","Niko Price","Brandon Thatch",0,74,"blue","SUB"
"961","Cezar Ferreira","Elias Theodorou",109,220,"red","DEC"
"962","Leandro Issa","Iuri Alcantara",86,105,"red","DEC"
"963","Leon Edwards","Kamaru Usman",72,15,"red","DEC"
"964","Edgar Garcia","Sheldon Westcott",12,30,"red","KO/TKO"
"965","Randa Markos","Carla Esparza",197,74,"blue","DEC"
"966","CB Dollaway","Michael Bisping",56,108,"red","DEC"
"967","Joachim Christensen","Bojan Mihajlovic",50,3,"blue","KO/TKO"
"968","Krzysztof Jotko","Bradley Scott",75,83,"blue","DEC"
"969","Kyoji Horiguchi","Demetrious Johnson",140,110,"red","SUB"
"970","Charles Rosa","Yair Rodriguez",59,34,"red","DEC"
"971","Masanori Kanehara","Rani Yahya",32,16,"red","DEC"
"972","Donald Cerrone","Rafael dos Anjos",317,217,"red","KO/TKO"
"973","Andrei Arlovski","Stipe Miocic",115,198,"red","KO/TKO"
"974","Gegard Mousasi","Vitor Belfort",252,28,"blue","KO/TKO"
"975","Caio Magalhaes","Brad Tavares",28,142,"red","DEC"
"976","Adam Milstead","Chris de la Rocha",0,1,"blue","KO/TKO"
"977","Alex Oliveira","Will Brooks",157,80,"blue","KO/TKO"
"978","Ovince Saint Preux","Jon Jones",133,171,"red","DEC"
"979","Dan Hooker","Yair Rodriguez",0,90,"red","DEC"
"980","Paulo Borrachinha","Garreth McLellan",0,69,"blue","KO/TKO"
"981","Matt Brown","Demian Maia",166,114,"red","SUB"
"982","Beneil Dariush","Daron Cruickshank",76,154,"blue","SUB"
"983","Hector Lombard","Johny Hendricks",23,296,"red","DEC"
"984","Randy Brown","Matt Dwyer",0,42,"blue","DEC"
"985","Louis Smolka","Paddy Holohan",224,106,"blue","SUB"
"986","Willie Gates","Dustin Ortiz",41,157,"red","KO/TKO"
"987","Tateki Matsuda","Chris Beal",0,25,"red","DEC"
"988","Paul Felder","Danny Castillo",51,39,"blue","KO/TKO"
"989","Stephen Thompson","Rory MacDonald",146,230,"blue","DEC"
"990","Derrick Lewis","Matt Mitrione",28,24,"red","KO/TKO"
"991","Jon Delos Reyes","Roldan Sangcha-an",22,36,"blue","SUB"
"992","Erik Perez","Francisco Rivera",41,146,"blue","DEC"
"993","Bobby Green","Dustin Poirier",109,106,"red","KO/TKO"
"994","Colby Covington","Bryan Barberena",107,303,"blue","DEC"
"995","Chris Beal","Chris Kelades",109,54,"red","DEC"
"996","Marcel Fortuna","Anthony Hamilton",0,154,"blue","KO/TKO"
"997","Rick Story","Tarec Saffiedine",69,171,"blue","DEC"
"998","Leonardo Mafra","Stevie Ray",105,31,"red","KO/TKO"
"999","Alex Garcia","Neil Magny",61,130,"red","DEC"
"1000","Alex Morono","Kyle Noke",0,73,"blue","DEC"
"1001","John Howard","Cathal Pendred",87,132,"blue","DEC"
"1002","Henry Cejudo","Jussier Formiga",184,41,"blue","DEC"
"1003","Krzysztof Jotko","Tor Troeng",15,26,"blue","DEC"
"1004","Michelle Waterson","Rose Namajunas",59,157,"red","SUB"
"1005","Shamil Abdurakhimov","Derrick Lewis",47,180,"red","KO/TKO"
"1006","Mirko Cro Cop","Gabriel Gonzaga",0,35,"blue","KO/TKO"
"1007","Gian Villante","Mauricio Rua",259,97,"red","KO/TKO"
"1008","Beneil Dariush","Michael Johnson",130,86,"blue","DEC"
"1009","Stephen Thompson","Johny Hendricks",122,201,"blue","KO/TKO"
"1010","Mitch Gagnon","Renan Barao",47,63,"red","SUB"
"1011","Phil Davis","Glover Teixeira",23,63,"blue","DEC"
"1012","Zach Makovsky","Jussier Formiga",0,9,"red","DEC"
"1013","Akbarh Arreola","Francisco Trinaldo",42,104,"red","DEC"
"1014","Sara McMann","Miesha Tate",51,82,"red","DEC"
"1015","Willie Gates","John Moraga",0,55,"red","SUB"
"1016","Belal Muhammad","Vicente Luque",143,64,"red","KO/TKO"
"1017","Ben Nguyen","Louis Smolka",38,283,"red","KO/TKO"
"1018","Noad Lahat","Niklas Backstrom",50,12,"blue","DEC"
"1019","Alex Garcia","Mike Pyle",113,151,"blue","KO/TKO"
"1020","Chris Camozzi","Jacare Souza",109,48,"red","SUB"
"1021","Viktor Pesta","Aleksei Oleinik",72,8,"red","SUB"
"1022","Dustin Ortiz","Jussier Formiga",294,66,"red","DEC"
"1023","Alistair Overeem","Roy Nelson",99,39,"blue","DEC"
"1024","Alex Nicholson","Misha Cirkunov",0,24,"red","SUB"
"1025","Rashid Magomedov","Bobby Green",41,125,"blue","DEC"
"1026","Fernando Bruno","Gray Maynard",22,36,"red","DEC"
"1027","Christos Giagos","Jorge de Oliveira",4,23,"blue","SUB"
"1028","Chris Avila","Artem Lobov",0,25,"red","DEC"
"1029","Conor McGregor","Nate Diaz",203,243,"blue","DEC"
"1030","Karolina Kowalkiewicz","Randa Markos",0,73,"blue","DEC"
"1031","Karolina Kowalkiewicz","Joanna Jedrzejczyk",269,461,"red","DEC"
"1032","Luan Chagas","Sergio Moraes",0,72,"draw",""
"1033","Danny Castillo","Nik Lentz",95,52,"red","DEC"
"1034","Rafael Natal","Robert Whittaker",237,211,"red","DEC"
"1035","Jason High","Rafael dos Anjos",0,20,"red","KO/TKO"
"1036","Randy Brown","Erick Montano",58,49,"blue","SUB"
"1037","Ray Borg","Jussier Formiga",100,74,"blue","DEC"
"1038","Alberto Uda","Jake Collier",0,37,"red","KO/TKO"
"1039","Volkan Oezdemir","Ovince Saint Preux",0,186,"blue","DEC"
"1040","Ron Stallings","Joe Riggs",60,23,"red","KO/TKO"
"1041","Sabah Homasi","Tim Means",0,282,"red","KO/TKO"
"1042","Reza Madadi","Yan Cabral",33,65,"blue","KO/TKO"
"1043","Robert Whittaker","Jacare Souza",333,130,"blue","KO/TKO"
"1044","Michelle Waterson","Angela Magana",0,37,"blue","SUB"
"1045","Rafael dos Anjos","Benson Henderson",56,66,"blue","KO/TKO"
"1046","Ryan Benoit","Ben Nguyen",28,27,"red","SUB"
"1047","Anthony Pettis","Max Holloway",221,612,"red","KO/TKO"
"1048","Wilson Reis","Jussier Formiga",58,20,"red","DEC"
"1049","Drew Dober","Scott Holtzman",76,71,"blue","DEC"
"1050","James Moontasri","Alex Oliveira",84,99,"red","DEC"
"1051","Jason Knight","Tatsuya Kawajiri",0,73,"red","DEC"
"1052","Cody Garbrandt","Thomas Almeida",75,199,"blue","KO/TKO"
"1053","Justin Scoggins","Pedro Munhoz",219,106,"red","SUB"
"1054","Leonardo Augusto Leleco","Antonio Carlos Junior",0,105,"red","SUB"
"1055","Sean Strickland","Luke Barnatt",20,45,"blue","DEC"
"1056","Scott Askham","Magnus Cedenblad",0,17,"red","DEC"
"1057","Juliana Lima","Carla Esparza",110,46,"red","DEC"
"1058","Tony Martin","Leonardo Santos",35,62,"red","SUB"
"1059","Jon Delos Reyes","Kyoji Horiguchi",9,65,"red","KO/TKO"
"1060","Tatsuya Kawajiri","Cub Swanson",113,224,"red","DEC"
"1061","Charles Oliveira","Hatsu Hioki",23,29,"blue","SUB"
"1062","Frank Mir","Mark Hunt",53,86,"red","KO/TKO"
"1063","Paul Felder","Francisco Trinaldo",278,394,"red","KO/TKO"
"1064","Gadzhimurad Antigulov","Marcos Rogerio de Lima",0,29,"blue","SUB"
"1065","Kajan Johnson","Naoyuki Kotani",20,13,"blue","DEC"
"1066","Germaine de Randamie","Holly Holm",47,140,"blue","DEC"
"1067","David Teymur","Lando Vannata",64,50,"blue","DEC"
"1068","Elizabeth Phillips","Jessamyn Duke",92,78,"blue","DEC"
"1069","Renato Moicano","Tom Niinimaki",0,8,"blue","SUB"
"1070","Rodrigo de Lima","Efrain Escudero",5,43,"red","DEC"
"1071","Tim Means","Alex Oliveira",370,211,"red","SUB"
"1072","Frankie Saenz","Urijah Faber",124,76,"red","DEC"
"1073","Jared Rosholt","Roy Nelson",115,100,"red","DEC"
"1074","Paul Craig","Henrique da Silva",0,125,"blue","SUB"
"1075","Rafael Feijao","Ovince Saint Preux",23,82,"red","DEC"
"1076","Fredy Serrano","Hector Sandoval",22,5,"red","DEC"
"1077","Dileno Lopes","Anthony Birchak",46,47,"red","DEC"
"1078","Emily Peters Kagan","Kailin Curran",0,81,"red","SUB"
"1079","Travis Browne","Fabricio Werdum",133,206,"red","DEC"
"1080","Brian Camozzi","Randy Brown",0,70,"red","KO/TKO"
"1081","Ryan Janes","Gerald Meerschaert",82,14,"red","SUB"
"1082","Sean Soriano","Charles Rosa",43,22,"red","SUB"
"1083","Krzysztof Jotko","Thales Leites",138,142,"blue","DEC"
"1084","Tyron Woodley","Robbie Lawler",80,277,"blue","KO/TKO"
"1085","Teruto Ishihara","Artem Lobov",40,78,"red","DEC"
"1086","Marcin Held","Joe Lauzon",30,186,"red","DEC"
"1087","Beneil Dariush","Ramsey Nijem",9,46,"red","KO/TKO"
"1088","Joby Sanchez","Tateki Matsuda",20,41,"blue","DEC"
"1089","Takanori Gomi","Jim Miller",123,102,"red","KO/TKO"
"1090","Derek Brunson","Uriah Hall",114,186,"blue","KO/TKO"
"1091","Jared Rosholt","Stefan Struve",99,95,"blue","DEC"
"1092","James Moontasri","Kevin Lee",67,150,"red","SUB"
"1093","Thiago Alves","Jordan Mein",116,56,"blue","KO/TKO"
"1094","Brendan Schaub","Travis Browne",30,36,"red","KO/TKO"
"1095","Godofredo Pepey","Darren Elkins",14,249,"red","DEC"
"1096","Mike Wilkinson","Niklas Backstrom",0,5,"blue","KO/TKO"
"1097","Dan Henderson","Daniel Cormier",23,18,"red","SUB"
"1098","Sheldon Westcott","Pawel Pawlak",13,21,"red","DEC"
"1099","Sage Northcutt","Francisco Trevino",0,81,"blue","KO/TKO"
"1100","Johnny Eduardo","Aljamain Sterling",11,140,"red","SUB"
"1101","Cristina Stanciu","Maryna Moroz",0,67,"red","DEC"
"1102","Danny Castillo","Tony Ferguson",16,38,"red","DEC"
"1103","Chan Sung Jung","Dennis Bermudez",0,254,"blue","KO/TKO"
"1104","Kyle Bochniak","Charles Rosa",0,98,"red","DEC"
"1105","Cole Miller","Max Holloway",38,299,"red","DEC"
"1106","Mizuto Hirota","Cole Miller",0,130,"blue","DEC"
"1107","Cody Garbrandt","Dominick Cruz",108,135,"blue","DEC"
"1108","Hector Sandoval","Wilson Reis",0,134,"red","SUB"
"1109","Jon Tuck","Damien Brown",112,37,"red","DEC"
"1110","Dominick Cruz","TJ Dillashaw",26,399,"blue","DEC"
"1111","Frank Mir","Andrei Arlovski",29,76,"red","DEC"
"1112","Geane Herrera","Ali Bagautinov",47,102,"red","DEC"
"1113","Patrick Cummins","Antonio Carlos Junior",113,19,"blue","DEC"
"1114","Joanne Calderwood","Valerie Letourneau",210,268,"blue","KO/TKO"
"1115","Gegard Mousasi","Jacare Souza",47,16,"red","SUB"
